opcode,name,size
0,NOP,1
1,LXI B-D16,3
2,STAX B,1
3,INX B,1
4,INR B,1
5,DCR B,1
6,MVI B-D8,2
7,RLC,1
8,-,1
9,DAD B,1
10,LDAX B,1
11,DCX B,1
12,INR C,1
13,DCR C,1
14,MVI C-D8,2
15,RRC,1
16,-,1
17,LXI D-D16,3
18,STAX D,1
19,INX D,1
20,INR D,1
21,DCR D,1
22,MVI D-D8,2
23,RAL,1
24,-,1
25,DAD D,1
26,LDAX D,1
27,DCX D,1
28,INR E,1
29,DCR E,1
30,MVI E-D8,2
31,RAR,1
32,RIM,1
33,LXI H-D16,3
34,SHLD,3
35,INX H,1
36,INR H,1
37,DCR H,1
38,MVI H-D8,2
39,DAA,1
40,-,1
41,DAD H,1
42,LHLD adr,3
43,DCX H,1
44,INR L,1
45,DCR L,1
46,MVI L-D8,2
47,CMA,1
48,SIM,1
49,LXI SP-D16,3
50,STA adr,3
51,INX SP,1
52,INR M,1
53,DCR M,1
54,MVI M-D8,2
55,STC,1
56,-,1
57,DAD SP,1
58,LDA adr,3
59,DCX SP,1
60,INR A,1
61,DCR A,1
62,MVI A-D8,2
63,CMC,1
64,MOV B-B,1
65,MOV B-C,1
66,MOV B-D,1
67,MOV B-E,1
68,MOV B-H,1
69,MOV B-L,1
70,MOV B-M,1
71,MOV B-A,1
72,MOV C-B,1
73,MOV C-C,1
74,MOV C-D,1
75,MOV C-E,1
76,MOV C-H,1
77,MOV C-L,1
78,MOV C-M,1
79,MOV C-A,1
80,MOV D-B,1
81,MOV D-C,1
82,MOV D-D,1
83,MOV D-E,1
84,MOV D-H,1
85,MOV D-L,1
86,MOV D-M,1
87,MOV D-A,1
88,MOV E-B,1
89,MOV E-C,1
90,MOV E-D,1
91,MOV E-E,1
92,MOV E-H,1
93,MOV E-L,1
94,MOV E-M,1
95,MOV E-A,1
96,MOV H-B,1
97,MOV H-C,1
98,MOV H-D,1
99,MOV H-E,1
100,MOV H-H,1
101,MOV H-L,1
102,MOV H-M,1
103,MOV H-A,1
104,MOV L-B,1
105,MOV L-C,1
106,MOV L-D,1
107,MOV L-E,1
108,MOV L-H,1
109,MOV L-L,1
110,MOV L-M,1
111,MOV L-A,1
112,MOV M-B,1
113,MOV M-C,1
114,MOV M-D,1
115,MOV M-E,1
116,MOV M-H,1
117,MOV M-L,1
118,HLT,1
119,MOV M-A,1
120,MOV A-B,1
121,MOV A-C,1
122,MOV A-D,1
123,MOV A-E,1
124,MOV A-H,1
125,MOV A-L,1
126,MOV A-M,1
127,MOV A-A,1
128,ADD B,1
129,ADD C,1
130,ADD D,1
131,ADD E,1
132,ADD H,1
133,ADD L,1
134,ADD M,1
135,ADD A,1
136,ADC B,1
137,ADC C,1
138,ADC D,1
139,ADC E,1
140,ADC H,1
141,ADC L,1
142,ADC M,1
143,ADC A,1
144,SUB B,1
145,SUB C,1
146,SUB D,1
147,SUB E,1
148,SUB H,1
149,SUB L,1
150,SUB M,1
151,SUB A,1
152,SBB B,1
153,SBB C,1
154,SBB D,1
155,SBB E,1
156,SBB H,1
157,SBB L,1
158,SBB M,1
159,SBB A,1
160,ANA B,1
161,ANA C,1
162,ANA D,1
163,ANA E,1
164,ANA H,1
165,ANA L,1
166,ANA M,1
167,ANA A,1
168,XRA B,1
169,XRA C,1
170,XRA D,1
171,XRA E,1
172,XRA H,1
173,XRA L,1
174,XRA M,1
175,XRA A,1
176,ORA B,1
177,ORA C,1
178,ORA D,1
179,ORA E,1
180,ORA H,1
181,ORA L,1
182,ORA M,1
183,ORA A,1
184,CMP B,1
185,CMP C,1
186,CMP D,1
187,CMP E,1
188,CMP H,1
189,CMP L,1
190,CMP M,1
191,CMP A,1
192,RNZ,1
193,POP B,1
194,JNZ adr,3
195,JMP adr,3
196,CNZ adr,3
197,PUSH B,1
198,ADI D8,2
199,RST 0,1
200,RZ,1
201,RET,1
202,JZ adr,3
203,-,1
204,CZ adr,3
205,CALL adr,3
206,ACI D8,2
207,RST 1,1
208,RNC,1
209,POP D,1
210,JNC adr,3
211,OUT D8,2
212,CNC adr,3
213,PUSH D,1
214,SUI D8,2
215,RST 2,1
216,RC,1
217,-,1
218,JC adr,3
219,IN D8,2
220,CC adr,3
221,-,1
222,SBI D8,2
223,RST 3,1
224,RPO,1
225,POP H,1
226,JPO adr,3
227,XHTL,1
228,CPO adr,3
229,PUSH H,1
230,ANI D8,2
231,RST 4,1
232,RPE,1
233,PCHL,1
234,JPE adr,3
235,XCHG,1
236,CPE adr,3
237,-,1
238,XRI D8,2
239,RST 5,1
240,RP,1
241,POP PSW,1
242,JP adr,3
243,DI,1
244,CP adr,3
245,PUSH PSW,1
246,ORI D8,2
247,RST 6,1
248,RM,1
249,SPHL,1
250,JM adr,3
251,EI,1
252,CM adr,3
253,-,1
254,CPI D8,2
255,RST 7,1
